'臺北市','臺北市動物之家','49','http://www.tcapo.taipei.gov.tw/np.asp?ctNode=69749&mp=105033,,臺北市內湖區潭美街852號,,02-87913254;02-87913255,,,,開放參訪日期:週二~週日^開放參訪時段:上午10:00~12:30，下午1:30~4:00。                                                                                                       ','f6eb551a55be8996a5589bdacf7339b4.jpg'
'基隆市','基隆市寵物銀行','48','http://www.klaphio.gov.tw/receiving_notice.php,,20653基隆市七堵區瑪西里大華三路45-12號(欣欣安樂園旁,,02-24560148,,,,基隆市政府動物保護防疫所-^^【所本部】^20147基隆市信義區信二路241號1樓^電話:02-24280677 傳真:02-24280687^^【寵物銀行】^20653基隆市七堵區大華三路45-12號^電話:02-24560148^開放參訪時段:週二~週六：上午9：00~12：00下午13：00~16：30      ^開放認養時段:週二~週五：下午14：00~16：30，週六：上午9：00~12：00^中午休息時段:中午12:00~下午13:00^(國定例假日休息)   ^^【動保小隊】^20045基隆市仁愛區南榮路393巷22號1樓^電話:02-24288905^^^^^^                                                                                                                                                                               ','c4aab46ae54c9e4d8137f3d4b6454200.jpg')
'新北市','新北市新莊區公立動物之家','52','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市泰山區楓江路191號,,02-22977814,,,,開放參訪日期:週一~週五^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                          ','4299ea6203cfa17e2ab7b37d49dff151.JPG'
'新北市','新北市新店區公立動物之家','51','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市新店區安泰路235號,,02-22159462,,,,開放參訪日期:週一~週五^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                                        ','e7d83b7f108ea2f2426d40b9803a8e5e.JPG'
'新北市','新北市板橋區公立動物之家','50','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市板橋區華東路1-9號,,02-89662158,,,,開放參訪日期: 週二~週日^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                                                                    ','555248476c818f79564df3c4ca6d63e1.JPG'
'新北市','新北市中和區公立動物之家 ','53','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市中和區興南路三段100號,,02-86685547,,,,開放參訪日期:週二~週日^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                                        ','8ea53ab2cf75d545d55148260203e283.JPG'
'新北市','新北市淡水區公立動物之家','55','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市淡水區下圭柔山91-3號,,02-26267558,,,,開放參訪日期:週一~週五^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                                                      ','1fa1e405b1d17f7547433c59843bb973.jpg'
'新北市','新北市瑞芳區公立動物之家','56','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市瑞芳區傑魚里八分寮路,,02-24063481,,,,開放參訪日期:週一~週五^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                                        ','367d77ceedffa3945ba673a0ed70c510.jpg'
'新北市','新北市五股區公立動物之家','58','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市五股區外寮路9-9號,,02-82925265,,,,開放參訪日期:週二~週日^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                          ','52881991f458d417d05630313cad171e.JPG'
'新北市','新北市八里區公立動物之家','59','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市八里區長坑村6鄰長道路36號,,02-26194428,,,,開放參訪日期:週一~週五^開放參訪時段:上午10:00-12:00，下午14:00-16:00                                                        ','0193fd5870c3be2447d747c4c27f54a6.JPG'
'新北市','新北市三芝區公立動物之家','60','http://www.ahiqo.ntpc.gov.tw/adopt_list.php,,新北市三芝區中山路一段32號,,02-26365436,,,,新北市三芝區圓山里青山路龍嚴建設旁^開放參訪日期:週一~週五^開放參訪時段:上午10:00-12:00，下午14:00-16:00 ^距離貝殼廟約5分鐘車程^距離三芝市區約15分鐘車程                                                                                   ','e898c4464e9a9efb0b20153f062a7e9c.JPG'
'新北市','新北市政府動物保護防疫處','92','http://www.ahiqo.ntpc.gov.tw/,,新北市板橋區四川路1段157巷2號,,02-29596353,,tpc58801@ms1.gsn.gov.tw,,開放參訪日期:^開放參訪時段:              ',''
